Question,Response
"  Depression Questions  :
In the past week, I couldn't seem to experience any positive feeling at all.",1
"  Depression Questions  :
In the past week, I couldn't seem to experience any positive feeling at all.",0
"  Depression Questions  :
In the past week, I couldn't seem to experience any positive feeling at all.",0
"  Depression Questions  :
In the past week, I couldn't seem to experience any positive feeling at all.",1
"  Depression Questions  :
In the past week, I couldn't seem to experience any positive feeling at all.",3
"  Depression Questions  :
In the past week, I couldn't seem to experience any positive feeling at all.",0
"  Depression Questions  :
In the past week, I couldn't seem to experience any positive feeling at all.",1
"  Depression Questions  :
In the past week, I couldn't seem to experience any positive feeling at all.",1
"  Depression Questions  :
In the past week, I couldn't seem to experience any positive feeling at all.",0
I'm constantly comparing myself to others. It makes me feel like a failure.,2
I'm constantly comparing myself to others. It makes me feel like a failure.,3
I'm constantly comparing myself to others. It makes me feel like a failure.,1
I'm constantly comparing myself to others. It makes me feel like a failure.,0
I'm constantly comparing myself to others. It makes me feel like a failure.,0
I'm constantly comparing myself to others. It makes me feel like a failure.,0
I'm constantly comparing myself to others. It makes me feel like a failure.,2
I'm constantly comparing myself to others. It makes me feel like a failure.,2
I'm constantly comparing myself to others. It makes me feel like a failure.,1
I felt that I had nothing to look forward to. ,0
I felt that I had nothing to look forward to. ,3
I felt that I had nothing to look forward to. ,0
I felt that I had nothing to look forward to. ,3
I felt that I had nothing to look forward to. ,1
I felt that I had nothing to look forward to. ,1
I felt that I had nothing to look forward to. ,0
I felt that I had nothing to look forward to. ,1
I felt that I had nothing to look forward to. ,3
I was unable to become enthusiastic about anything. ,2
I was unable to become enthusiastic about anything. ,2
I was unable to become enthusiastic about anything. ,1
I was unable to become enthusiastic about anything. ,2
I was unable to become enthusiastic about anything. ,1
I was unable to become enthusiastic about anything. ,2
I was unable to become enthusiastic about anything. ,2
I was unable to become enthusiastic about anything. ,2
I was unable to become enthusiastic about anything. ,2
I felt I wasn't worth much as a person. ,2
I felt I wasn't worth much as a person. ,3
I felt I wasn't worth much as a person. ,0
I felt I wasn't worth much as a person. ,1
I felt I wasn't worth much as a person. ,1
I felt I wasn't worth much as a person. ,3
I felt I wasn't worth much as a person. ,3
I felt I wasn't worth much as a person. ,2
I felt I wasn't worth much as a person. ,3
I felt that life was meaningless. ,0
I felt that life was meaningless. ,3
I felt that life was meaningless. ,3
I felt that life was meaningless. ,0
I felt that life was meaningless. ,0
I felt that life was meaningless. ,0
I felt that life was meaningless. ,0
I felt that life was meaningless. ,2
I felt that life was meaningless. ,2
I felt down-hearted and blue. ,0
I felt down-hearted and blue. ,3
I felt down-hearted and blue. ,3
I felt down-hearted and blue. ,2
I felt down-hearted and blue. ,2
I felt down-hearted and blue. ,1
I felt down-hearted and blue. ,2
I felt down-hearted and blue. ,2
I felt down-hearted and blue. ,3
"Anxiety Questions: 
I was aware of dryness of my mouth.",0
"Anxiety Questions: 
I was aware of dryness of my mouth.",3
"Anxiety Questions: 
I was aware of dryness of my mouth.",2
"Anxiety Questions: 
I was aware of dryness of my mouth.",3
"Anxiety Questions: 
I was aware of dryness of my mouth.",0
"Anxiety Questions: 
I was aware of dryness of my mouth.",2
"Anxiety Questions: 
I was aware of dryness of my mouth.",1
"Anxiety Questions: 
I was aware of dryness of my mouth.",3
"Anxiety Questions: 
I was aware of dryness of my mouth.",2
"I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion).  ",0
"I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion).  ",1
"I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion).  ",1
"I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion).  ",1
"I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion).  ",0
"I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion).  ",3
"I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion).  ",2
"I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion).  ",1
"I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion).  ",3
"I experienced trembling (e.g., in the hands). ",0
"I experienced trembling (e.g., in the hands). ",0
"I experienced trembling (e.g., in the hands). ",1
"I experienced trembling (e.g., in the hands). ",2
"I experienced trembling (e.g., in the hands). ",0
"I experienced trembling (e.g., in the hands). ",0
"I experienced trembling (e.g., in the hands). ",1
"I experienced trembling (e.g., in the hands). ",2
"I experienced trembling (e.g., in the hands). ",3
I was worried about situations in which I might panic and make a fool of myself. ,0
I was worried about situations in which I might panic and make a fool of myself. ,3
I was worried about situations in which I might panic and make a fool of myself. ,1
I was worried about situations in which I might panic and make a fool of myself. ,0
I was worried about situations in which I might panic and make a fool of myself. ,1
I was worried about situations in which I might panic and make a fool of myself. ,1
I was worried about situations in which I might panic and make a fool of myself. ,2
I was worried about situations in which I might panic and make a fool of myself. ,3
I was worried about situations in which I might panic and make a fool of myself. ,3
I was aware of the beating of my heart in the absence of physical exertion. ,1
I was aware of the beating of my heart in the absence of physical exertion. ,0
I was aware of the beating of my heart in the absence of physical exertion. ,1
I was aware of the beating of my heart in the absence of physical exertion. ,3
I was aware of the beating of my heart in the absence of physical exertion. ,1
I was aware of the beating of my heart in the absence of physical exertion. ,2
I was aware of the beating of my heart in the absence of physical exertion. ,0
I was aware of the beating of my heart in the absence of physical exertion. ,2
I was aware of the beating of my heart in the absence of physical exertion. ,3
I felt scared without any good reason. ,1
I felt scared without any good reason. ,3
I felt scared without any good reason. ,2
I felt scared without any good reason. ,1
I felt scared without any good reason. ,0
I felt scared without any good reason. ,3
I felt scared without any good reason. ,2
I felt scared without any good reason. ,1
I felt scared without any good reason. ,3
"Stress Questions :
I found myself getting agitated.   ",1
"Stress Questions :
I found myself getting agitated.   ",3
"Stress Questions :
I found myself getting agitated.   ",2
"Stress Questions :
I found myself getting agitated.   ",2
"Stress Questions :
I found myself getting agitated.   ",0
"Stress Questions :
I found myself getting agitated.   ",1
"Stress Questions :
I found myself getting agitated.   ",2
"Stress Questions :
I found myself getting agitated.   ",1
"Stress Questions :
I found myself getting agitated.   ",3
I was intolerant of anything that kept me from getting on with what I was doing. ,1
I was intolerant of anything that kept me from getting on with what I was doing. ,2
I was intolerant of anything that kept me from getting on with what I was doing. ,2
I was intolerant of anything that kept me from getting on with what I was doing. ,0
I was intolerant of anything that kept me from getting on with what I was doing. ,0
I was intolerant of anything that kept me from getting on with what I was doing. ,3
I was intolerant of anything that kept me from getting on with what I was doing. ,1
I was intolerant of anything that kept me from getting on with what I was doing. ,0
I was intolerant of anything that kept me from getting on with what I was doing. ,3
I found it difficult to relax.,1
I found it difficult to relax.,3
I found it difficult to relax.,2
I found it difficult to relax.,3
I found it difficult to relax.,1
I found it difficult to relax.,2
I found it difficult to relax.,3
I found it difficult to relax.,0
I found it difficult to relax.,3
I felt that I was using a lot of nervous energy. ,1
I felt that I was using a lot of nervous energy. ,3
I felt that I was using a lot of nervous energy. ,3
I felt that I was using a lot of nervous energy. ,2
I felt that I was using a lot of nervous energy. ,1
I felt that I was using a lot of nervous energy. ,0
I felt that I was using a lot of nervous energy. ,1
I felt that I was using a lot of nervous energy. ,1
I felt that I was using a lot of nervous energy. ,2
I found myself getting impatient when I was delayed in any way. ,1
I found myself getting impatient when I was delayed in any way. ,3
I found myself getting impatient when I was delayed in any way. ,3
I found myself getting impatient when I was delayed in any way. ,0
I found myself getting impatient when I was delayed in any way. ,3
I found myself getting impatient when I was delayed in any way. ,0
I found myself getting impatient when I was delayed in any way. ,2
I found myself getting impatient when I was delayed in any way. ,1
I found myself getting impatient when I was delayed in any way. ,3
